"","Sample","Mouse","Treatment_des","Date","reads_pre_filt","reads_post_filt","host_percent"
"180","C10F3DT","C10F3","Diet","17/11/2020",61556222,60137506,17.39
"181","C10F3DR","C10F3","Diet Rest","23/11/2020",66678494,65308418,1.31
"182","C10F4OP","C10F4","Optimal","02/10/2020",19316068,18727000,13.02
"183","C10F4HT","C10F4","Heat","19/10/2020",16755430,16353610,7.14
"184","C10F4HR","C10F4","Heat_rest","25/10/2020",39088164,38121458,1.38
"185","C10F4CD","C10F4","Cold","04/11/2020",24336296,23782978,1.87
"186","C10F4CR","C10F4","Cold_rest","10/11/2020",31106440,30368890,2.52
"187","C10F4DT","C10F4","Diet","17/11/2020",26310702,25492368,6.97
"188","C10F4DR","C10F4","Diet Rest","23/11/2020",19648314,18942684,1.13
"189","C10F5OP","C10F5","Optimal","02/10/2020",80181552,78945856,1.16
"190","C10F5HT","C10F5","Heat","19/10/2020",27553434,27253048,2.6
"191","C10F5HR","C10F5","Heat_rest","25/10/2020",28376682,27997486,1.02
"192","C10F5CD","C10F5","Cold","04/11/2020",43422826,42892210,0.82
"193","C10F5CR","C10F5","Cold_rest","10/11/2020",42020000,41562036,3.23
"194","C10F5DT","C10F5","Diet","17/11/2020",29794100,29418616,5.91
"195","C10F5DR","C10F5","Diet Rest","23/11/2020",25629820,25342594,0.94
"196","C11F1OP","C11F1","Optimal","02/10/2020",26076526,25392790,3.96
"197","C11F1HT","C11F1","Heat","19/10/2020",34119540,33176908,1.64
"198","C11F1HR","C11F1","Heat_rest","25/10/2020",22909772,22373216,21.82
"199","C11F1CD","C11F1","Cold","04/11/2020",22145988,21433598,5.27
"200","C11F1CR","C11F1","Cold_rest","10/11/2020",25945080,25235588,2.57
"201","C11F1DT","C11F1","Diet","17/11/2020",16891156,16352212,6.03
"202","C11F1DR","C11F1","Diet Rest","23/11/2020",20791154,19650992,15.21
"203","C11F2OP","C11F2","Optimal","02/10/2020",108531854,106435880,6.44
"204","C11F2HT","C11F2","Heat","19/10/2020",67416552,66298014,6.28
